timestamp,gaze_x,gaze_y
1788318804.1565576,304,647
1788318804.186673,321,646
1788318804.2144098,314,639
1788318804.2520978,338,658
1788318804.2809083,318,655
1788318804.3115497,270,657
1788318804.3468168,212,653
1788318804.376789,207,652
1788318804.4062319,208,654
1788318804.4582825,227,653
1788318804.4897804,212,652
1788318804.5205626,209,650
1788318804.550464,204,650
1788318804.5855534,177,657
1788318804.6162987,176,662
1788318804.6547139,195,660
1788318804.6834261,195,663
1788318804.711925,191,671
1788318804.741926,188,666
1788318804.7736073,206,674
1788318804.8088133,224,672
1788318804.8554866,202,675
1788318804.8885078,186,681
1788318804.9193618,233,690
1788318804.9612458,252,692
1788318804.9899616,234,673
1788318805.0182943,216,669
1788318805.048544,225,670
1788318805.0797582,219,665
1788318805.1158311,224,652
1788318805.1452353,251,653
1788318805.176381,477,592
1788318805.20883,687,431
1788318805.2567954,830,302
1788318805.2887697,902,280
1788318805.3207638,879,238
1788318805.3569288,864,226
1788318805.3864772,857,210
1788318805.4154525,803,180
1788318805.4550428,729,164
1788318805.4847791,726,150
1788318805.516805,704,143
1788318805.5504572,708,148
1788318805.580003,713,147
1788318805.6084657,720,146
1788318805.6604571,718,130
1788318805.6912742,696,121
1788318805.72295,685,107
1788318805.753739,655,99
1788318805.7888625,662,101
1788318805.8195488,652,101
1788318805.8490524,670,96
1788318805.880524,707,113
1788318805.9127324,852,269
1788318805.9458923,1286,609
1788318806.0600138,1788,916
1788318806.0917704,1827,940
1788318806.1214933,1793,951
1788318806.1529255,1854,928
1788318806.1893084,1870,935
1788318806.2182863,1858,928
1788318806.2495017,1863,926
1788318806.2781801,1824,924
1788318806.311038,1814,917
1788318806.346751,1779,918
1788318806.3773158,1729,913
1788318806.4193048,1706,903
1788318806.4604003,1676,902
1788318806.4886663,1656,897
1788318806.5236187,1663,890
1788318806.5538502,1657,885
1788318806.583536,1630,877
1788318806.6154811,1608,881
1788318806.6473837,1572,877
1788318806.681786,1543,860
1788318806.7135177,1546,877
1788318806.743526,1641,875
1788318806.7735686,1663,884
1788318806.8057368,1678,881
1788318806.855554,1704,883
1788318806.8868666,1714,886
1788318806.9218893,1714,885
1788318806.9530687,1752,889
1788318806.9848468,1769,897
1788318807.014081,1788,898
1788318807.046205,1791,893
1788318807.082136,1794,899
1788318807.1118133,1797,897
1788318807.1453207,1822,899
1788318807.1735232,1821,901
1788318807.2083333,1752,891
1788318807.257243,1700,877
1788318807.2866707,1685,875
1788318807.3251169,1667,890
1788318807.3536677,1651,887
1788318807.3843813,1648,883
1788318807.4145174,1639,881
1788318807.4555159,1606,880
1788318807.4810681,1584,884
1788318807.5112975,1572,888
1788318807.5426486,1564,885
1788318807.5773795,1537,878
1788318807.6066513,1557,890
1788318807.6547022,1634,924
1788318807.6921911,1649,929
1788318807.7204146,1693,944
1788318807.7513864,1686,938
1788318807.7821476,1700,936
1788318807.8178356,1709,934
1788318807.849893,1729,938
1788318807.8810072,1759,950
1788318807.9121768,1757,937
1788318807.9447355,1757,935
1788318807.9754148,1795,946
1788318808.00503,1774,957
1788318808.0586138,1788,958
1788318808.088553,1787,959
1788318808.1180463,1791,964
1788318808.155084,1773,949
1788318808.1860168,1784,953
1788318808.2190354,1780,950
1788318808.2488606,1787,946
1788318808.2790785,1792,949
1788318808.3125846,1787,953
1788318808.347469,1850,948
1788318808.3771167,1893,947
1788318808.4054198,1887,942
1788318808.4563403,1941,926
1788318808.4899578,1940,929
1788318808.5204887,1960,922
1788318808.5526512,1987,920
1788318808.587428,1988,913
1788318808.6188886,1968,921
1788318808.6481326,1943,919
1788318808.6782582,1933,929
1788318808.7111604,1928,932
1788318808.747335,1928,927
1788318808.7761629,1935,924
1788318808.8068316,1937,926
1788318808.8560984,1931,904
1788318808.8913698,1614,788
1788318808.9202344,993,551
1788318808.951264,606,350
1788318808.9817765,493,253
1788318809.0184307,488,222
1788318809.048213,541,215
1788318809.0786061,557,204
1788318809.1137233,562,175
1788318809.144179,554,180
1788318809.1745474,535,180
1788318809.2105367,571,160
1788318809.255149,618,154
1788318809.2864523,574,150
1788318809.3223374,600,158
1788318809.35478,601,155
1788318809.385443,598,155
1788318809.4140806,618,161
1788318809.4504063,606,150
1788318809.4814084,626,124
1788318809.5102086,649,116
1788318809.5476637,649,110
1788318809.5775535,678,96
1788318809.606883,715,91
1788318809.6553504,709,81
1788318809.6881661,715,78
1788318809.7171478,763,92
1788318809.754681,699,322
1788318809.7854688,688,684
1788318809.8483236,648,897
1788318810.5530305,753,821
1788318810.5838895,711,736
1788318810.6209314,685,670
1788318810.6480627,646,632
1788318810.6787124,624,620
1788318810.7088842,614,591
1788318810.7423897,625,586
1788318810.7769215,625,587
1788318810.808094,608,575
1788318810.855202,614,602
1788318810.8883173,583,637
1788318810.9196682,588,666
1788318810.9524672,565,681
1788318810.9881542,549,717
1788318811.0163224,487,738
1788318811.0477574,471,780
1788318811.0778582,470,810
1788318811.1182737,498,803
1788318811.147177,485,798
1788318811.175286,444,803
1788318811.2060134,472,795
1788318811.2558975,507,777
1788318811.288287,502,772
1788318811.3180234,556,775
1788318811.351582,629,780
1788318811.3866558,638,755
1788318811.413926,650,768
1788318811.451732,630,773
1788318811.4817078,655,785
1788318811.512459,671,797
1788318811.5435658,733,809
1788318811.578304,941,700
1788318811.6082144,964,668
1788318811.6560795,973,633
1788318811.6889632,963,637
1788318811.7205696,963,640
1788318811.7520928,937,670
1788318811.7821014,904,673
1788318811.8185673,881,670
1788318811.847496,887,684
1788318811.8792028,947,717
1788318811.9104471,975,701
1788318811.9450474,975,695
1788318811.9753447,985,703
1788318812.006407,995,695
1788318812.0557353,944,683
1788318812.0888832,940,667
1788318812.1191862,935,639
1788318812.1579275,949,620
1788318812.184012,874,613
1788318812.2154803,835,602
1788318812.2504292,819,591
1788318812.281145,823,568
1788318812.3101125,818,561
1788318812.3417645,827,550
1788318812.37761,827,550
1788318812.4074345,869,530
1788318812.454955,911,519
1788318812.4877913,907,514
1788318812.5236807,902,506
1788318812.552715,902,478
1788318812.5827324,909,502
1788318812.6156204,887,509
1788318812.6475375,891,525
1788318812.6802754,889,552
1788318812.9543014,755,744
1788318812.9865882,644,603
1788318813.017656,627,527
1788318813.0487676,658,564
1788318813.081518,757,574
1788318813.1188087,779,585
1788318813.14637,775,550
1788318813.178766,688,530
1788318813.210337,764,453
1788318813.2552912,858,478
1788318813.288271,857,514
1788318813.321397,886,586
1788318813.3535364,872,586
1788318813.385223,876,581
1788318813.4191403,892,604
1788318813.4545553,861,592
1788318813.4806464,885,590
1788318813.5103245,970,621
1788318813.542134,1004,683
1788318813.5769594,1059,732
1788318813.6077912,1119,787
1788318813.658134,1086,844
1788318813.6896582,1084,829
1788318813.718091,1073,833
1788318813.754223,986,851
1788318813.7919626,685,845
1788318813.8187063,501,792
1788318813.8512845,458,792
1788318813.880341,494,765
1788318813.9103494,485,740
1788318813.9405408,447,740
1788318813.9780774,459,677
1788318814.0075302,433,681
1788318814.0553174,405,669
1788318814.0902643,419,687
1788318814.1208017,362,668
1788318814.1513586,358,665
1788318814.1826162,346,713
1788318814.2185123,309,664
1788318814.248626,297,637
1788318814.2787247,292,646
1788318814.3128777,275,664
1788318814.3415375,304,657
1788318814.3739796,222,638
1788318814.4074395,229,637
1788318814.4571466,236,642
1788318814.4909358,242,714
1788318814.5206754,219,696
1788318814.5517235,226,734
1788318814.5817163,236,741
1788318814.6190345,232,765
1788318814.6477277,250,752
1788318814.677942,244,770
1788318815.4468338,1012,720
1788318815.4785454,851,678
1788318815.514875,942,648
1788318815.5459847,909,659
1788318815.5750577,930,629
1788318815.6058455,902,658
1788318815.6578267,845,654
1788318815.6898534,827,612
1788318815.7206802,842,618
1788318815.750248,850,612
1788318815.7887921,812,612
1788318815.8166795,824,602
1788318815.846937,822,615
1788318815.8824158,707,643
1788318815.912304,650,654
1788318815.9435704,568,634
1788318815.9738917,486,626
1788318816.0063698,354,594
1788318816.0582495,287,606
1788318816.087863,266,611
1788318816.119475,233,636
1788318816.1557646,269,654
1788318816.1881108,232,666
1788318816.2180974,274,655
1788318816.254608,257,660
1788318816.2856398,312,648
1788318816.3188987,340,649
1788318816.3443813,334,628
1788318816.3750324,308,643
1788318816.4070733,325,664
1788318816.45757,357,663
1788318816.4882684,373,656
1788318816.5196073,320,659
1788318816.5508626,390,656
1788318816.585077,383,684
1788318816.61664,384,696
1788318816.646772,375,709
1788318816.6808982,395,692
1788318816.709925,314,703
1788318816.7472656,359,687
1788318816.776768,358,668
1788318816.8067238,423,690
1788318816.8552902,389,712
1788318816.892124,356,707
1788318816.9226635,386,699
1788318816.9557436,401,693
1788318816.9832492,351,689
1788318817.0210795,361,681
1788318817.053601,364,692
1788318817.0800672,302,685
1788318817.110336,306,699
1788318817.1480844,288,678
1788318817.1749802,276,681
1788318817.209432,281,669
1788318817.2595186,314,662
1788318817.2912383,332,659
1788318817.3230937,309,668
1788318817.354214,304,671
1788318817.3838968,278,665
1788318817.4191535,278,664
1788318817.4505203,281,671
1788318817.4811566,289,673
1788318817.5177042,313,669
1788318817.5499828,343,695
1788318817.578841,390,661
1788318817.6090097,490,668
1788318817.659436,582,671
1788318817.6901133,639,686
1788318817.721707,632,696
1788318817.760508,643,712
1788318817.7879515,720,714
1788318817.8168054,680,685
1788318817.8565366,697,703
1788318817.9432948,952,622
1788318817.9807825,990,611
1788318818.0088615,957,612
1788318818.0601387,946,598
1788318818.0921216,927,589
1788318818.123545,988,578
1788318818.1541371,1109,621
1788318818.1833928,1185,648
1788318818.2162383,1235,635
1788318818.2539248,1215,650
1788318818.2822423,1244,649
1788318818.313348,1271,692
1788318818.345474,1317,724
1788318818.374771,1281,700
1788318818.4106987,1295,448
1788318818.4556222,1269,283
1788318818.486814,1261,233
1788318818.518675,1206,247
1788318818.5533543,1145,264
1788318818.5820847,1146,273
1788318818.613967,1070,234
1788318818.6512847,1059,193
1788318818.6803524,1054,198
1788318818.710546,980,229
1788318818.7476318,933,299
1788318818.7764585,752,336
1788318818.8063378,580,376
1788318818.8580737,508,378
1788318818.8878703,500,400
1788318818.9203303,541,371
1788318818.9509943,522,385
1788318818.988536,549,428
1788318819.018332,632,545
1788318820.283266,1743,1085
1788318820.3118012,1757,1059
1788318820.3429046,1774,1083
1788318820.374503,1732,1065
1788318820.411329,1718,1028
1788318820.4636843,1697,999
1788318820.4900115,1683,989
1788318820.52207,1662,989
1788318820.552426,1644,998
1788318820.582549,1622,989
1788318820.6149418,1611,991
1788318820.659879,1577,978
1788318820.6843753,1571,960
1788318820.7127624,1552,939
1788318820.7472453,1561,941
1788318820.7788892,1504,943
1788318820.8088336,1500,923
1788318820.8399706,1535,918
1788318820.8878286,1407,923
1788318820.92204,1030,650
1788318820.9531813,868,387
1788318820.9832544,778,285
1788318821.0165703,774,237
1788318821.0482552,759,207
1788318821.0858498,758,197
1788318821.113962,770,178
1788318821.143082,773,167
1788318821.1761785,780,164
1788318821.212355,762,167
1788318821.2399323,766,185
1788318821.28736,798,197
1788318821.319267,800,202
1788318821.3559847,812,205
1788318821.3858578,804,203
1788318821.4162178,802,197
1788318821.447417,786,206
1788318821.4833565,812,188
1788318821.5126193,760,199
1788318821.5420587,762,199
1788318821.5752497,756,209
1788318821.6092901,794,208
1788318821.640112,786,199
1788318821.6866128,782,189
1788318821.722225,771,184
1788318821.7525334,770,189
1788318821.7852926,732,212
1788318821.8158438,727,207
1788318821.8517141,704,210
1788318821.8812227,712,215
1788318821.9125414,713,210
1788318821.9435754,717,204
1788318821.9754555,717,207
1788318822.0097294,680,211
1788318822.0398438,611,213
1788318822.0883608,568,218
1788318822.123336,503,226
1788318822.1531096,507,217
1788318822.1850374,491,220
1788318822.2144506,487,231
1788318822.2505965,464,223
1788318822.2809596,460,241
1788318822.3103993,463,314
1788318822.3429663,476,593
1788318822.7422225,546,918
1788318822.7776487,531,886
1788318822.8078961,523,879
1788318822.8383136,518,873
1788318822.8907695,522,857
1788318822.920417,512,860
1788318822.9523036,523,843
1788318822.9845114,530,843
1788318823.0146558,535,840
1788318823.0499778,550,836
1788318823.0811384,578,806
1788318823.1115978,597,796
1788318823.142511,556,794
1788318823.1782126,579,759
1788318823.2070754,579,755
1788318823.2386403,584,735
1788318823.290496,600,727
1788318823.3223624,589,731
1788318823.349792,533,729
1788318823.388564,560,731
1788318823.4190404,516,728
1788318823.4502447,525,729
1788318823.4793115,541,744
1788318823.5104835,569,735
1788318823.545545,549,734
1788318823.5759044,540,722
1788318823.605708,556,726
1788318823.6420789,526,698
1788318823.6884434,519,694
1788318823.725323,515,709
1788318823.7532678,487,683
1788318823.7854028,470,681
1788318823.8145957,450,705
1788318823.8526254,478,719
1788318823.8824668,479,722
1788318823.9111838,468,704
1788318823.9442613,474,698
1788318823.9749632,491,691
1788318824.0068653,501,694
1788318824.04046,500,706
1788318824.0880737,538,713
1788318824.124941,553,723
1788318824.1556284,562,723
1788318824.184765,643,702
1788318824.2154422,697,687
1788318824.2510953,749,677
1788318824.2818892,746,669
1788318824.3104377,776,659
1788318824.346599,775,663
1788318824.3769953,665,673
1788318824.4079232,588,675
1788318824.4485846,507,692
1788318824.4916155,462,652
1788318824.5221817,452,648
1788318824.5558703,431,638
1788318824.5897973,444,651
1788318824.6183665,440,658
1788318824.6491697,435,678
1788318824.6845279,538,670
1788318824.7142885,588,677
1788318824.7438664,622,645
1788318824.7770455,657,625
1788318824.8112507,689,600
1788318824.8408315,721,609
1788318824.8873537,782,606
1788318824.9253643,854,608
1788318824.955918,889,612
1788318824.9867165,940,606
1788318825.0171878,965,609
1788318825.049134,988,602
1788318825.0850997,971,586
1788318825.113694,1000,588
1788318825.1442306,1023,599
1788318825.1754982,1042,598
1788318825.2114248,1028,592
1788318825.2419255,1009,592
1788318825.2897584,953,591
1788318825.325113,953,575
1788318825.3549812,938,586
1788318825.3841536,939,596
1788318825.416303,923,602
1788318825.4544988,913,602
1788318825.4817717,916,583
1788318825.5116844,900,589
1788318825.5427778,909,577
1788318825.577778,900,574
1788318825.6083493,890,569
1788318825.6389408,873,563
1788318825.6905866,877,569
1788318825.7192206,890,589
1788318825.7567806,880,601
1788318825.7866762,870,602
1788318825.8159387,869,602
1788318825.8469648,896,577
1788318825.88246,928,571
1788318825.9128199,929,576
1788318825.9416022,936,576
1788318825.9740012,967,571
1788318826.0100284,959,579
1788318826.0387797,971,579
1788318826.0865576,970,560
1788318826.1220164,968,569
1788318826.152896,995,559
1788318826.1842945,1012,574
1788318826.2196317,1053,584
1788318826.2477617,1056,588
1788318826.279319,1051,590
1788318826.3106577,1050,591
1788318826.341995,1072,594
1788318826.3775585,1076,596
1788318826.4083397,1064,593
1788318826.439417,1075,594
1788318826.4878356,1023,604
1788318826.5201879,1001,600
1788318826.5550666,980,617
1788318826.584995,952,608
1788318826.6144495,938,604
1788318826.650868,918,562
1788318826.681647,866,564
1788318826.7122579,836,549
1788318826.7430112,785,566
1788318826.7742002,778,582
1788318826.8096027,779,615
1788318826.8394504,765,631
1788318826.8872762,766,634
1788318826.9225786,801,636
1788318826.9518352,819,644
1788318826.9832437,821,646
1788318827.017862,843,640
1788318827.0461612,801,656
1788318827.078843,748,683
1788318827.1160054,783,690
1788318827.146432,798,702
1788318827.1741238,792,685
1788318827.2074156,791,720
1788318827.2409604,785,702
1788318827.2874763,838,717
1788318827.323065,849,731
1788318827.3555098,856,744
1788318827.3829849,840,736
1788318827.415496,918,740
1788318827.4517741,965,740
1788318827.4816403,1032,731
1788318827.5092123,1046,731
1788318827.5432823,1059,727
1788318827.5770125,1051,734
1788318827.6095107,1068,733
1788318827.6379247,1076,740
1788318827.69088,1060,744
1788318827.721909,1062,733
1788318827.7523324,1075,761
1788318827.7819433,1060,756
1788318827.8189914,1063,766
1788318827.8493571,1067,763
1788318827.8799646,1077,759
1788318827.9144351,1063,749
1788318827.9443026,1065,745
1788318827.975742,990,750
1788318828.0069814,974,763
1788318828.0397737,953,765
1788318828.088409,918,772
1788318828.1208508,915,769
1788318828.1514149,905,761
1788318828.1872272,905,758
1788318828.217985,932,755
1788318828.2476172,961,748
1788318828.2784996,1022,749
1788318828.3158221,1027,750
1788318828.3438241,1001,758
1788318828.3741715,1019,761
1788318828.410074,1017,766
1788318828.4398537,1111,770
1788318828.4871423,1163,715
1788318828.5209913,1200,676
1788318828.5518515,1262,634
1788318828.585742,1259,608
1788318828.6182125,1258,554
1788318828.647742,1277,574
1788318828.6786742,1307,533
1788318828.7134666,1311,531
1788318828.7444937,1308,520
1788318828.7740905,1294,500
1788318828.8240378,1285,505
1788318828.855284,1286,507
1788318828.8891006,1251,506
1788318828.9220235,1243,504
1788318828.9515686,1171,484
1788318828.9835267,1165,502
1788318829.0191548,1143,516
1788318829.0481083,1131,515
1788318829.0780277,1118,515
1788318829.11408,1099,504
1788318829.144681,1076,482
1788318829.1746795,1046,496
1788318829.2125323,1046,500
1788318829.2399163,1015,546
1788318829.2862284,904,580
1788318829.3249652,857,578
1788318829.354563,874,581
1788318829.3859851,862,568
1788318829.4154856,865,576
1788318829.4462593,862,578
1788318829.4824867,829,550
1788318829.512839,854,569
1788318829.542339,891,606
1788318829.9477744,1218,892
1788318829.9777868,1128,785
1788318830.0062556,1140,718
1788318830.0419772,1132,650
1788318830.0874615,1119,641
1788318830.124987,1040,667
1788318830.1556191,971,667
1788318830.188985,865,682
1788318830.2163017,853,680
1788318830.2474184,840,699
1788318830.2868965,851,693
1788318830.3140259,810,682
1788318830.3449595,828,679
1788318830.3756492,807,668
1788318830.4072628,834,671
1788318830.443858,845,672
1788318830.4888647,831,678
1788318830.5186763,781,679
1788318830.5554638,831,679
1788318830.5863156,889,681
1788318830.6164427,930,669
1788318830.647132,951,647
1788318830.682987,958,610
1788318830.7182207,905,584
1788318830.7456765,898,544
1788318830.7753203,926,514
1788318830.8106208,978,490
1788318830.8406656,970,484
1788318830.8865783,984,484
1788318830.9211333,976,498
1788318830.9524593,1002,540
1788318830.983655,977,589
1788318831.0164545,958,605
1788318831.0504875,971,640
1788318831.080902,908,648
1788318831.1094682,930,677
1788318831.1477118,917,654
1788318831.1769743,943,662
1788318831.2068014,837,698
1788318831.2438226,738,704
1788318831.288051,748,690
1788318831.3205283,739,707
1788318831.3549948,691,728
1788318831.3843386,713,733
1788318831.4150605,723,747
1788318831.4474044,732,771
1788318831.4821458,968,776
1788318831.5124457,1074,770
1788318831.542353,1120,790
1788318831.5796838,1183,815
1788318831.60969,1100,833
1788318831.637806,1127,819
1788318831.6896982,1102,791
1788318831.7252817,1100,789
1788318831.7559848,1136,782
1788318831.788078,1052,789
1788318831.8183732,925,812
1788318831.8498082,836,842
1788318831.8839953,784,869
1788318831.9161623,769,864
1788318831.94561,743,861
1788318831.9779932,662,887
1788318832.0128307,638,956
1788318832.0459032,666,1008
1788318832.0889933,705,1025
1788318832.1207016,728,1028
1788318832.156309,655,1023
1788318832.185093,557,1015
1788318832.2155957,510,1007
1788318832.2551498,475,1000
1788318832.2848878,456,990
1788318832.3117235,458,977
1788318832.347622,462,1003
1788318832.3786335,473,1007
1788318832.4090085,464,1001
1788318832.4389274,458,979
1788318832.4922514,441,964
1788318832.5199971,410,943
1788318832.553176,416,939
1788318832.582863,411,942
1788318832.6184475,393,943
1788318832.6479,416,951
1788318832.679844,437,954
1788318832.7171133,495,944
1788318832.745761,529,944
1788318832.7754753,561,951
1788318832.812481,575,947
1788318832.843741,594,933
1788318832.8890274,598,937
1788318832.9242089,634,921
1788318832.953217,631,926
1788318832.9830806,644,914
1788318833.015095,622,907
1788318833.047495,623,905
1788318833.0828185,643,908
1788318833.1118565,686,911
1788318833.1427908,678,904
1788318833.1796186,696,901
1788318833.208402,694,897
1788318833.2386851,699,893
1788318833.2918303,716,901
1788318833.3214245,713,906
1788318833.3532894,729,906
1788318833.3831143,735,913
1788318833.420235,741,908
1788318833.4490025,741,901
1788318833.4788787,742,885
1788318833.511754,732,888
1788318833.5430117,822,888
1788318833.5771842,908,873
1788318833.6065316,887,873
1788318833.6436586,871,876
1788318833.6887455,908,885
1788318833.7198622,959,865
1788318833.75208,1159,907
1788318833.7871826,1240,957
1788318833.8186693,1282,985
1788318833.847666,1305,995
1788318833.8803513,1250,1000
1788318833.9146676,1219,1012
1788318833.9439023,1252,1018
1788318833.9758735,1245,1025
1788318834.0115438,1246,1056
1788318834.0435507,1275,1023
1788318834.0883386,1266,1009
1788318834.1233861,1249,1012
1788318834.1532962,1189,1025
1788318834.1882458,1089,968
1788318834.2151067,979,894
1788318834.2494264,912,844
1788318834.2816095,878,843
1788318834.3143044,838,828
1788318834.3470054,860,852
1788318834.6205578,1040,1048
1788318834.6491678,977,1001
1788318834.6796072,934,968
1788318834.7156596,909,907
1788318834.747065,823,874
1788318834.7772017,726,879
1788318834.8073313,667,864
1788318834.844763,643,871
1788318834.887908,606,889
1788318834.9193585,607,875
1788318834.9548495,643,889
1788318834.987406,703,920
1788318835.0165212,822,1021
1788318835.8805919,1543,1143
1788318835.9123785,1043,937
1788318835.9499578,933,820
1788318835.9771082,876,758
1788318836.0087242,857,722
1788318836.0430603,851,701
1788318836.0878532,826,706
1788318836.1199994,827,688
1788318836.1554255,876,694
1788318836.1854923,854,695
1788318836.215079,841,699
1788318836.2471051,826,708
1788318836.284784,817,707
1788318836.3134947,804,719
1788318836.343542,794,716
1788318836.3798099,790,712
1788318836.4102411,805,713
1788318836.4391315,838,714
1788318836.4940526,870,712
1788318836.5245326,881,708
1788318836.554688,921,701
1788318836.5881932,953,700
1788318836.6176763,991,703
1788318836.6482723,1003,703
1788318836.681244,1062,727
1788318836.7155836,1023,790
1788318836.7462063,1182,986
1788318837.206497,1200,962
1788318837.2422469,1036,793
1788318837.2712622,987,769
1788318837.318776,934,723
1788318837.351887,955,723
1788318837.386712,950,693
1788318837.4222972,926,650
